akshara,codepoints,level,visual_key,glyph_count_noto,renderable,fused_noto,fused_mn,fused_sangam,main_glyph,mod_parts,nexts,parts_nfd,reading,wiki_freq,in_454
ම්‍ම,U+0DB8 U+0DCA U+200D U+0DB8,L6_zwj_conj,215-3-53,3,True,False,False,False,ම,,ම,SINHALA LETTER MAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER MAYANNA,ma-ma,5,False
ම්‍ල,U+0DB8 U+0DCA U+200D U+0DBD,L6_zwj_conj,215-3-57,3,True,False,False,False,ම,,ල,SINHALA LETTER MAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER DANTAJA LAYANNA,ma-la,5,False
ය්‍ර,U+0DBA U+0DCA U+200D U+0DBB,L6_zwj_conj,55-164,2,True,False,True,True,ය,,ර,SINHALA LETTER YAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA,ya-ra,5,False
ර්‍භ,U+0DBB U+0DCA U+200D U+0DB7,L6_zwj_conj,400,1,True,True,True,True,ර,,භ,SINHALA LETTER RAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER MAHAAPRAANA BAYANNA,ra-bha,5,False
ෂ්‍ට,U+0DC2 U+0DCA U+200D U+0DA7,L6_zwj_conj,222-3-37,3,True,False,False,False,ෂ,,ට,SINHALA LETTER MUURDHAJA SAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER ALPAPRAANA TTAYANNA,ṣa-ṭa,5,False
ස්‍ට,U+0DC3 U+0DCA U+200D U+0DA7,L6_zwj_conj,223-3-37,3,True,False,False,False,ස,,ට,SINHALA LETTER DANTAJA SAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER ALPAPRAANA TTAYANNA,sa-ṭa,5,False
ස්‍ත,U+0DC3 U+0DCA U+200D U+0DAD,L6_zwj_conj,223-3-43,3,True,False,False,False,ස,,ත,SINHALA LETTER DANTAJA SAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER ALPAPRAANA TAYANNA,sa-ta,5,False
ක්ධ,U+0D9A U+0DCA U+0DB0,L7_linear_conj,186-46,2,True,False,False,False,ක,,ධ,SINHALA LETTER ALPAPRAANA KAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA DAYANNA,ka-dha,5,False
ග්ප,U+0D9C U+0DCA U+0DB4,L7_linear_conj,188-49,2,True,False,False,False,ග,,ප,SINHALA LETTER ALPAPRAANA GAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA PAYANNA,ga-pa,5,False
ඞ්ම,U+0D9E U+0DCA U+0DB8,L7_linear_conj,190-53,2,True,False,False,False,ඞ,,ම,SINHALA LETTER KANTAJA NAASIKYAYA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAYANNA,ṅa-ma,5,False
ච්ත,U+0DA0 U+0DCA U+0DAD,L7_linear_conj,192-43,2,True,False,False,False,ච,,ත,SINHALA LETTER ALPAPRAANA CAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA TAYANNA,ca-ta,5,False
ච්ර,U+0DA0 U+0DCA U+0DBB,L7_linear_conj,192-56,2,True,False,False,False,ච,,ර,SINHALA LETTER ALPAPRAANA CAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER RAYANNA,ca-ra,5,False
ට්ෂ,U+0DA7 U+0DCA U+0DC2,L7_linear_conj,199-60,2,True,False,False,False,ට,,ෂ,SINHALA LETTER ALPAPRAANA TTAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MUURDHAJA SAYANNA,ṭa-ṣa,5,False
ණ්ග,U+0DAB U+0DCA U+0D9C,L7_linear_conj,203-26,2,True,False,False,False,ණ,,ග,SINHALA LETTER MUURDHAJA NAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA GAYANNA,ṇa-ga,5,False
ණ්ඬ,U+0DAB U+0DCA U+0DAC,L7_linear_conj,203-42,2,True,False,False,False,ණ,,ඬ,SINHALA LETTER MUURDHAJA NAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER SANYAKA DDAYANNA,ṇa-ⁿḍa,5,False
ප්ථ,U+0DB4 U+0DCA U+0DAE,L7_linear_conj,211-44,2,True,False,False,False,ප,,ථ,SINHALA LETTER ALPAPRAANA PAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA TAYANNA,pa-tha,5,False
ප්ශ,U+0DB4 U+0DCA U+0DC1,L7_linear_conj,211-59,2,True,False,False,False,ප,,ශ,SINHALA LETTER ALPAPRAANA PAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER TAALUJA SAYANNA,pa-śa,5,False
ඵ්ජ,U+0DB5 U+0DCA U+0DA2,L7_linear_conj,212-32,2,True,False,False,False,ඵ,,ජ,SINHALA LETTER MAHAAPRAANA PAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA JAYANNA,pha-ja,5,False
ම්ඛ,U+0DB8 U+0DCA U+0D9B,L7_linear_conj,215-25,2,True,False,False,False,ම,,ඛ,SINHALA LETTER MAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA KAYANNA,ma-kha,5,False
ම්ඹ,U+0DB8 U+0DCA U+0DB9,L7_linear_conj,215-54,2,True,False,False,False,ම,,ඹ,SINHALA LETTER MAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER AMBA BAYANNA,ma-ᵐba,5,False
ඹ්න,U+0DB9 U+0DCA U+0DB1,L7_linear_conj,216-47,2,True,False,False,False,ඹ,,න,SINHALA LETTER AMBA BAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER DANTAJA NAYANNA,ᵐba-na,5,False
ල්භ,U+0DBD U+0DCA U+0DB7,L7_linear_conj,219-52,2,True,False,False,False,ල,,භ,SINHALA LETTER DANTAJA LAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA BAYANNA,la-bha,5,False
ල්ළ,U+0DBD U+0DCA U+0DC5,L7_linear_conj,219-63,2,True,False,False,False,ල,,ළ,SINHALA LETTER DANTAJA LAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MUURDHAJA LAYANNA,la-ḷa,5,False
ෂ්හ,U+0DC2 U+0DCA U+0DC4,L7_linear_conj,222-62,2,True,False,False,False,ෂ,,හ,SINHALA LETTER MUURDHAJA SAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER HAYANNA,ṣa-ha,5,False
ස්භ,U+0DC3 U+0DCA U+0DB7,L7_linear_conj,223-52,2,True,False,False,False,ස,,භ,SINHALA LETTER DANTAJA SAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA BAYANNA,sa-bha,5,False
ස්ෂ,U+0DC3 U+0DCA U+0DC2,L7_linear_conj,223-60,2,True,False,False,False,ස,,ෂ,SINHALA LETTER DANTAJA SAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MUURDHAJA SAYANNA,sa-ṣa,5,False
හ්ප,U+0DC4 U+0DCA U+0DB4,L7_linear_conj,224-49,2,True,False,False,False,හ,,ප,SINHALA LETTER HAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA PAYANNA,ha-pa,5,False
ළ්ත,U+0DC5 U+0DCA U+0DAD,L7_linear_conj,225-43,2,True,False,False,False,ළ,,ත,SINHALA LETTER MUURDHAJA LAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA TAYANNA,ḷa-ta,5,False
ක්‍යෝ,U+0D9A U+0DCA U+200D U+0DBA U+0DDD,L8_zwj_conj_dv,74-24-240-66,4,True,False,False,False,ක,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT + SINHALA SIGN AL-LAKUNA@POST,ය,SINHALA LETTER ALPAPRAANA KAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA + SINHALA SIGN AL-LAKUNA,ka-yō,5,False
ග්‍යො,U+0D9C U+0DCA U+200D U+0DBA U+0DDC,L8_zwj_conj_dv,74-26-128-66,4,True,False,False,False,ග,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ය,SINHALA LETTER ALPAPRAANA GAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA,ga-yo,5,False
ද්‍යේ,U+0DAF U+0DCA U+200D U+0DBA U+0DDA,L8_zwj_conj_dv,74-45-240,3,True,False,False,False,ද,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA SIGN AL-LAKUNA@POST,ය,SINHALA LETTER ALPAPRAANA DAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA SIGN AL-LAKUNA,da-yē,5,False
ධ්‍රා,U+0DB0 U+0DCA U+200D U+0DBB U+0DCF,L8_zwj_conj_dv,46-155-66,3,True,False,False,False,ධ,SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ර,SINHALA LETTER MAHAAPRAANA DAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN AELA-PILLA,dha-rā,5,False
ධ්‍යෙ,U+0DB0 U+0DCA U+200D U+0DBA U+0DD9,L8_zwj_conj_dv,74-46-128,3,True,False,False,False,ධ,SINHALA VOWEL SIGN KOMBUVA@PRE,ය,SINHALA LETTER MAHAAPRAANA DAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA,dha-ye,5,False
න්‍යූ,U+0DB1 U+0DCA U+200D U+0DBA U+0DD6,L8_zwj_conj_dv,47-532,2,True,False,False,False,න,u_下垂(ū)@BELOW,ය,SINHALA LETTER DANTAJA NAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN DIGA PAA-PILLA,na-yū,5,False
ප්‍රෘ,U+0DB4 U+0DCA U+200D U+0DBB U+0DD8,L8_zwj_conj_dv,49-158-73,3,True,False,False,False,ප,SINHALA VOWEL SIGN GAETTA-PILLA@POST,ර,SINHALA LETTER ALPAPRAANA PAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,pa-ra+U+0DD8,5,False
බ්‍යූ,U+0DB6 U+0DCA U+200D U+0DBA U+0DD6,L8_zwj_conj_dv,51-532,2,True,False,False,False,බ,u_下垂(ū)@BELOW,ය,SINHALA LETTER ALPAPRAANA BAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN DIGA PAA-PILLA,ba-yū,5,False
ව්‍රෙ,U+0DC0 U+0DCA U+200D U+0DBB U+0DD9,L8_zwj_conj_dv,74-58-166,3,True,False,False,False,ව,SINHALA VOWEL SIGN KOMBUVA@PRE,ර,SINHALA LETTER VAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA,va-re,5,False
ව්‍රො,U+0DC0 U+0DCA U+200D U+0DBB U+0DDC,L8_zwj_conj_dv,74-58-166-66,4,True,False,False,False,ව,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ර,SINHALA LETTER VAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA,va-ro,5,False
ෂ්‍රො,U+0DC2 U+0DCA U+200D U+0DBB U+0DDC,L8_zwj_conj_dv,74-60-168-66,4,True,False,False,False,ෂ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ර,SINHALA LETTER MUURDHAJA SAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA,ṣa-ro,5,False
ස්‍යො,U+0DC3 U+0DCA U+200D U+0DBA U+0DDC,L8_zwj_conj_dv,74-61-128-66,4,True,False,False,False,ස,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ය,SINHALA LETTER DANTAJA SAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA,sa-yo,5,False
ඡෘ,U+0DA1 U+0DD8,L4_cons_dv,31-73,2,True,False,False,False,ඡ,SINHALA VOWEL SIGN GAETTA-PILLA@POST,,SINHALA LETTER MAHAAPRAANA CAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,cha+U+0DD8,4,False
ඤේ,U+0DA4 U+0DDA,L4_cons_dv,74-196,2,True,False,False,False,ඤ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA SIGN AL-LAKUNA@POST,,SINHALA LETTER TAALUJA NAASIKYAYA + SINHALA VOWEL SIGN KOMBUVA + SINHALA SIGN AL-LAKUNA,ñē,4,False
ඥි,U+0DA5 U+0DD2,L4_cons_dv,260,1,True,False,False,False,ඥ,SINHALA VOWEL SIGN KETTI IS-PILLA@ABOVE,,SINHALA LETTER TAALUJA SANYOOGA NAAKSIKYAYA + SINHALA VOWEL SIGN KETTI IS-PILLA,U+0DA5i,4,False
ඨෙ,U+0DA8 U+0DD9,L4_cons_dv,74-38,2,True,False,False,False,ඨ,SINHALA VOWEL SIGN KOMBUVA@PRE,,SINHALA LETTER MAHAAPRAANA TTAYANNA + SINHALA VOWEL SIGN KOMBUVA,ṭhe,4,False
ඪො,U+0DAA U+0DDC,L4_cons_dv,74-40-66,3,True,False,False,False,ඪ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT,,SINHALA LETTER MAHAAPRAANA DDAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA,ḍho,4,False
ඵෘ,U+0DB5 U+0DD8,L4_cons_dv,50-73,2,True,False,False,False,ඵ,SINHALA VOWEL SIGN GAETTA-PILLA@POST,,SINHALA LETTER MAHAAPRAANA PAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,pha+U+0DD8,4,False
භෑ,U+0DB7 U+0DD1,L4_cons_dv,52-68,2,True,False,False,False,භ,SINHALA VOWEL SIGN DIGA AEDA-PILLA@RIGHT,,SINHALA LETTER MAHAAPRAANA BAYANNA + SINHALA VOWEL SIGN DIGA AEDA-PILLA,bhǣ,4,True
රෘ,U+0DBB U+0DD8,L4_cons_dv,56-73,2,True,False,False,False,ර,SINHALA VOWEL SIGN GAETTA-PILLA@POST,,SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,ra+U+0DD8,4,False
ෂෛ,U+0DC2 U+0DDB,L4_cons_dv,76-60,2,True,False,False,False,ෂ,SINHALA VOWEL SIGN KOMBU DEKA@POST,,SINHALA LETTER MUURDHAJA SAYANNA + SINHALA VOWEL SIGN KOMBU DEKA,ṣa+U+0DDB,4,False
ළෘ,U+0DC5 U+0DD8,L4_cons_dv,63-73,2,True,False,False,False,ළ,SINHALA VOWEL SIGN GAETTA-PILLA@POST,,SINHALA LETTER MUURDHAJA LAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,ḷa+U+0DD8,4,False
ඨ්‍ය,U+0DA8 U+0DCA U+200D U+0DBA,L6_zwj_conj,38-128,2,True,False,False,False,ඨ,,ය,SINHALA LETTER MAHAAPRAANA TTAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA,ṭha-ya,4,False
න්‍න,U+0DB1 U+0DCA U+200D U+0DB1,L6_zwj_conj,209-3-47,3,True,False,False,False,න,,න,SINHALA LETTER DANTAJA NAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER DANTAJA NAYANNA,na-na,4,False
ෂ්‍ර,U+0DC2 U+0DCA U+200D U+0DBB,L6_zwj_conj,60-168,2,True,False,True,True,ෂ,,ර,SINHALA LETTER MUURDHAJA SAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA,ṣa-ra,4,False
ක්ථ,U+0D9A U+0DCA U+0DAE,L7_linear_conj,186-44,2,True,False,False,False,ක,,ථ,SINHALA LETTER ALPAPRAANA KAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA TAYANNA,ka-tha,4,False
ඝ්න,U+0D9D U+0DCA U+0DB1,L7_linear_conj,189-47,2,True,False,False,False,ඝ,,න,SINHALA LETTER MAHAAPRAANA GAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER DANTAJA NAYANNA,gha-na,4,False
ඝ්ල,U+0D9D U+0DCA U+0DBD,L7_linear_conj,189-57,2,True,False,False,False,ඝ,,ල,SINHALA LETTER MAHAAPRAANA GAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER DANTAJA LAYANNA,gha-la,4,False
ඡ්ච,U+0DA1 U+0DCA U+0DA0,L7_linear_conj,193-30,2,True,False,False,False,ඡ,,ච,SINHALA LETTER MAHAAPRAANA CAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA CAYANNA,cha-ca,4,False
ජ්ප,U+0DA2 U+0DCA U+0DB4,L7_linear_conj,194-49,2,True,False,False,False,ජ,,ප,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA PAYANNA,ja-pa,4,False
ඩ්ෂ,U+0DA9 U+0DCA U+0DC2,L7_linear_conj,201-60,2,True,False,False,False,ඩ,,ෂ,SINHALA LETTER ALPAPRAANA DDAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MUURDHAJA SAYANNA,ḍa-ṣa,4,False
ණ්ජ,U+0DAB U+0DCA U+0DA2,L7_linear_conj,203-32,2,True,False,False,False,ණ,,ජ,SINHALA LETTER MUURDHAJA NAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA JAYANNA,ṇa-ja,4,False
ණ්ඪ,U+0DAB U+0DCA U+0DAA,L7_linear_conj,203-40,2,True,False,False,False,ණ,,ඪ,SINHALA LETTER MUURDHAJA NAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA DDAYANNA,ṇa-ḍha,4,False
ත්ෆ,U+0DAD U+0DCA U+0DC6,L7_linear_conj,205-64,2,True,False,False,False,ත,,ෆ,SINHALA LETTER ALPAPRAANA TAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER FAYANNA,ta-fa,4,False
ථ්ත,U+0DAE U+0DCA U+0DAD,L7_linear_conj,206-43,2,True,False,False,False,ථ,,ත,SINHALA LETTER MAHAAPRAANA TAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA TAYANNA,tha-ta,4,False
ධ්ක,U+0DB0 U+0DCA U+0D9A,L7_linear_conj,208-24,2,True,False,False,False,ධ,,ක,SINHALA LETTER MAHAAPRAANA DAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA KAYANNA,dha-ka,4,False
ධ්ප,U+0DB0 U+0DCA U+0DB4,L7_linear_conj,208-49,2,True,False,False,False,ධ,,ප,SINHALA LETTER MAHAAPRAANA DAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA PAYANNA,dha-pa,4,False
න්ඬ,U+0DB1 U+0DCA U+0DAC,L7_linear_conj,209-42,2,True,False,False,False,න,,ඬ,SINHALA LETTER DANTAJA NAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER SANYAKA DDAYANNA,na-ⁿḍa,4,False
න්භ,U+0DB1 U+0DCA U+0DB7,L7_linear_conj,209-52,2,True,False,False,False,න,,භ,SINHALA LETTER DANTAJA NAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA BAYANNA,na-bha,4,False
ම්ඝ,U+0DB8 U+0DCA U+0D9D,L7_linear_conj,215-27,2,True,False,False,False,ම,,ඝ,SINHALA LETTER MAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA GAYANNA,ma-gha,4,False
ම්ථ,U+0DB8 U+0DCA U+0DAE,L7_linear_conj,215-44,2,True,False,False,False,ම,,ථ,SINHALA LETTER MAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA TAYANNA,ma-tha,4,False
ර්ඵ,U+0DBB U+0DCA U+0DB5,L7_linear_conj,218-50,2,True,False,False,False,ර,,ඵ,SINHALA LETTER RAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER MAHAAPRAANA PAYANNA,ra-pha,4,False
ල්ශ,U+0DBD U+0DCA U+0DC1,L7_linear_conj,219-59,2,True,False,False,False,ල,,ශ,SINHALA LETTER DANTAJA LAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER TAALUJA SAYANNA,la-śa,4,False
ශ්හ,U+0DC1 U+0DCA U+0DC4,L7_linear_conj,221-62,2,True,False,False,False,ශ,,හ,SINHALA LETTER TAALUJA SAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER HAYANNA,śa-ha,4,False
ෂ්ඩ,U+0DC2 U+0DCA U+0DA9,L7_linear_conj,222-39,2,True,False,False,False,ෂ,,ඩ,SINHALA LETTER MUURDHAJA SAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER ALPAPRAANA DDAYANNA,ṣa-ḍa,4,False
ස්ඳ,U+0DC3 U+0DCA U+0DB3,L7_linear_conj,223-48,2,True,False,False,False,ස,,ඳ,SINHALA LETTER DANTAJA SAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER SANYAKA DAYANNA,sa-ⁿda,4,False
හ්හ,U+0DC4 U+0DCA U+0DC4,L7_linear_conj,224-62,2,True,False,False,False,හ,,හ,SINHALA LETTER HAYANNA + SINHALA SIGN AL-LAKUNA + SINHALA LETTER HAYANNA,ha-ha,4,False
ක්‍ර්,U+0D9A U+0DCA U+200D U+0DBB U+0DCA,L8_zwj_conj_dv,186-133,2,True,False,True,True,ක,hal@TOP,ර,SINHALA LETTER ALPAPRAANA KAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA SIGN AL-LAKUNA,ka-r,4,False
ක්‍යි,U+0D9A U+0DCA U+200D U+0DBA U+0DD2,L8_zwj_conj_dv,24-309,2,True,False,False,False,ක,SINHALA VOWEL SIGN KETTI IS-PILLA@ABOVE,ය,SINHALA LETTER ALPAPRAANA KAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KETTI IS-PILLA,ka-yi,4,False
ක්‍යො,U+0D9A U+0DCA U+200D U+0DBA U+0DDC,L8_zwj_conj_dv,74-24-128-66,4,True,False,False,False,ක,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ය,SINHALA LETTER ALPAPRAANA KAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA,ka-yo,4,False
ග්‍යෙ,U+0D9C U+0DCA U+200D U+0DBA U+0DD9,L8_zwj_conj_dv,74-26-128,3,True,False,False,False,ග,SINHALA VOWEL SIGN KOMBUVA@PRE,ය,SINHALA LETTER ALPAPRAANA GAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA,ga-ye,4,False
ග්‍යෝ,U+0D9C U+0DCA U+200D U+0DBA U+0DDD,L8_zwj_conj_dv,74-26-240-66,4,True,False,False,False,ග,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN AELA-PILLA@RIGHT + SINHALA SIGN AL-LAKUNA@POST,ය,SINHALA LETTER ALPAPRAANA GAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN AELA-PILLA + SINHALA SIGN AL-LAKUNA,ga-yō,4,False
ඩ්‍යූ,U+0DA9 U+0DCA U+200D U+0DBA U+0DD6,L8_zwj_conj_dv,39-532,2,True,False,False,False,ඩ,u_下垂(ū)@BELOW,ය,SINHALA LETTER ALPAPRAANA DDAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN DIGA PAA-PILLA,ḍa-yū,4,False
ත්‍රු,U+0DAD U+0DCA U+200D U+0DBB U+0DD4,L8_zwj_conj_dv,43-152-131,3,True,False,False,False,ත,u_角型(u)@BELOW,ර,SINHALA LETTER ALPAPRAANA TAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KETTI PAA-PILLA,ta-ru,4,False
ද්‍යෘ,U+0DAF U+0DCA U+200D U+0DBA U+0DD8,L8_zwj_conj_dv,45-128-73,3,True,False,False,False,ද,SINHALA VOWEL SIGN GAETTA-PILLA@POST,ය,SINHALA LETTER ALPAPRAANA DAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,da-ya+U+0DD8,4,False
ද්‍යෙ,U+0DAF U+0DCA U+200D U+0DBA U+0DD9,L8_zwj_conj_dv,74-45-128,3,True,False,False,False,ද,SINHALA VOWEL SIGN KOMBUVA@PRE,ය,SINHALA LETTER ALPAPRAANA DAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA,da-ye,4,False
ධ්‍යේ,U+0DB0 U+0DCA U+200D U+0DBA U+0DDA,L8_zwj_conj_dv,74-46-240,3,True,False,False,False,ධ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA SIGN AL-LAKUNA@POST,ය,SINHALA LETTER MAHAAPRAANA DAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA SIGN AL-LAKUNA,dha-yē,4,False
