akshara,codepoints,freq
"බ‍්‍ර","U+0DB6 U+200D U+0DCA U+200D U+0DBB",66
"ට්වා","U+0DA7 U+0DCA U+0DC0 U+0DCF",66
"ක්ස්ගේ","U+0D9A U+0DCA U+0DC3 U+0DCA U+0D9C U+0DDA",65
"ස්බැ","U+0DC3 U+0DCA U+0DB6 U+0DD0",65
"ඩ්සා","U+0DA9 U+0DCA U+0DC3 U+0DCF",65
"ස්ගෙ","U+0DC3 U+0DCA U+0D9C U+0DD9",65
"ල්ලො","U+0DBD U+0DCA U+0DBD U+0DDC",65
"ක්හී","U+0D9A U+0DCA U+0DC4 U+0DD3",65
"ණෟ","U+0DAB U+0DDF",65
"ර්ඩේ","U+0DBB U+0DCA U+0DA9 U+0DDA",65
"ෆ්‍රේ","U+0DC6 U+0DCA U+200D U+0DBB U+0DDA",65
"ල්එ","U+0DBD U+0DCA U+0D91",65
"ඞ්ග","U+0D9E U+0DCA U+0D9C",65
"ඣ","U+0DA3",64
"ල්තැ","U+0DBD U+0DCA U+0DAD U+0DD0",64
"ශො","U+0DC1 U+0DDC",64
"ර්න්ස්","U+0DBB U+0DCA U+0DB1 U+0DCA U+0DC3 U+0DCA",64
"ජ්‍යේ","U+0DA2 U+0DCA U+200D U+0DBA U+0DDA",64
"ස්මො","U+0DC3 U+0DCA U+0DB8 U+0DDC",64
"ග‍්‍රී","U+0D9C U+200D U+0DCA U+200D U+0DBB U+0DD3",64
"ල්මෝ","U+0DBD U+0DCA U+0DB8 U+0DDD",64
"ධෘ","U+0DB0 U+0DD8",64
"ම්ෆි","U+0DB8 U+0DCA U+0DC6 U+0DD2",64
"ෆ්ගේ","U+0DC6 U+0DCA U+0D9C U+0DDA",64
"න්ස්හි","U+0DB1 U+0DCA U+0DC3 U+0DCA U+0DC4 U+0DD2",64
"ර්චු","U+0DBB U+0DCA U+0DA0 U+0DD4",64
"ශුං","U+0DC1 U+0DD4 U+0D82",64
"ඪාං","U+0DAA U+0DCF U+0D82",63
"ක්ටො","U+0D9A U+0DCA U+0DA7 U+0DDC",63
"හුං","U+0DC4 U+0DD4 U+0D82",63
"ෂ්ච","U+0DC2 U+0DCA U+0DA0",63
"ක්ට්‍රි","U+0D9A U+0DCA U+0DA7 U+0DCA U+200D U+0DBB U+0DD2",63
"න්‍යු","U+0DB1 U+0DCA U+200D U+0DBA U+0DD4",63
"ප්රු","U+0DB4 U+0DCA U+0DBB U+0DD4",63
"ම්නෙ","U+0DB8 U+0DCA U+0DB1 U+0DD9",63
"ස්ත්ර","U+0DC3 U+0DCA U+0DAD U+0DCA U+0DBB",63
"ල්ස්බ","U+0DBD U+0DCA U+0DC3 U+0DCA U+0DB6",63
"ධ්","U+0DB0 U+0DCA",63
"ජ්ම","U+0DA2 U+0DCA U+0DB8",63
"ර්තො","U+0DBB U+0DCA U+0DAD U+0DDC",63
"බ්‍රී","U+0DB6 U+0DCA U+200D U+0DBB U+0DD3",63
"න්ලෝ","U+0DB1 U+0DCA U+0DBD U+0DDD",63
"ර්යු","U+0DBB U+0DCA U+0DBA U+0DD4",63
"ත්පු","U+0DAD U+0DCA U+0DB4 U+0DD4",62
"‍ගො","U+200D U+0D9C U+0DDC",62
"ක්‍","U+0D9A U+0DCA U+200D",62
"ඤෙ","U+0DA4 U+0DD9",62
"න්ස්වි","U+0DB1 U+0DCA U+0DC3 U+0DCA U+0DC0 U+0DD2",62
"ඩ්‍රී","U+0DA9 U+0DCA U+200D U+0DBB U+0DD3",62
"ෂ්වා","U+0DC2 U+0DCA U+0DC0 U+0DCF",62
"ර්යොං","U+0DBB U+0DCA U+0DBA U+0DDC U+0D82",62
"්","U+0DCA",61
"ත්‍","U+0DAD U+0DCA U+200D",61
"ත්කෘ","U+0DAD U+0DCA U+0D9A U+0DD8",61
"ල්ගෙ","U+0DBD U+0DCA U+0D9C U+0DD9",61
"ර්පා","U+0DBB U+0DCA U+0DB4 U+0DCF",61
"ග්රේ","U+0D9C U+0DCA U+0DBB U+0DDA",61
"ස්තැ","U+0DC3 U+0DCA U+0DAD U+0DD0",61
"බ්බු","U+0DB6 U+0DCA U+0DB6 U+0DD4",61
"ත්කු","U+0DAD U+0DCA U+0D9A U+0DD4",61
"ජ්ඣං","U+0DA2 U+0DCA U+0DA3 U+0D82",61
"ශ්වි","U+0DC1 U+0DCA U+0DC0 U+0DD2",60
"ක්ෂ්","U+0D9A U+0DCA U+0DC2 U+0DCA",60
"ෆ්රෑ","U+0DC6 U+0DCA U+0DBB U+0DD1",60
"ක්දෙ","U+0D9A U+0DCA U+0DAF U+0DD9",60
"ග්ස","U+0D9C U+0DCA U+0DC3",60
"ශ්රේ","U+0DC1 U+0DCA U+0DBB U+0DDA",60
"ස්ෆ","U+0DC3 U+0DCA U+0DC6",60
"ම්සු","U+0DB8 U+0DCA U+0DC3 U+0DD4",60
"වෙි","U+0DC0 U+0DD9 U+0DD2",60
"ශ්ට","U+0DC1 U+0DCA U+0DA7",60
"ක්ලූ","U+0D9A U+0DCA U+0DBD U+0DD6",60
"ද්රි","U+0DAF U+0DCA U+0DBB U+0DD2",60
"න්ස්බ","U+0DB1 U+0DCA U+0DC3 U+0DCA U+0DB6",60
"ව්‍යෛ","U+0DC0 U+0DCA U+200D U+0DBA U+0DDB",60
"ල්කී","U+0DBD U+0DCA U+0D9A U+0DD3",60
"න්ෆ්ල","U+0DB1 U+0DCA U+0DC6 U+0DCA U+0DBD",60
"න‍ය","U+0DB1 U+200D U+0DBA",59
"ල්පු","U+0DBD U+0DCA U+0DB4 U+0DD4",59
"ත්ප්‍ර","U+0DAD U+0DCA U+0DB4 U+0DCA U+200D U+0DBB",59
"න්ද්රි","U+0DB1 U+0DCA U+0DAF U+0DCA U+0DBB U+0DD2",59
"ති‍බේ","U+0DAD U+0DD2 U+200D U+0DB6 U+0DDA",59
"ප්‍ර‍මා","U+0DB4 U+0DCA U+200D U+0DBB U+200D U+0DB8 U+0DCF",59
"ද්‍රෘ","U+0DAF U+0DCA U+200D U+0DBB U+0DD8",59
"න්‍යො","U+0DB1 U+0DCA U+200D U+0DBA U+0DDC",59
"න්තෘ","U+0DB1 U+0DCA U+0DAD U+0DD8",59
"ල්තු","U+0DBD U+0DCA U+0DAD U+0DD4",59
"ල්ට්ස්","U+0DBD U+0DCA U+0DA7 U+0DCA U+0DC3 U+0DCA",59
"න්ඩ්ගේ","U+0DB1 U+0DCA U+0DA9 U+0DCA U+0D9C U+0DDA",59
"න්සොං","U+0DB1 U+0DCA U+0DC3 U+0DDC U+0D82",59
"න්හ්යො","U+0DB1 U+0DCA U+0DC4 U+0DCA U+0DBA U+0DDC",59
"කා‍වේ","U+0D9A U+0DCF U+200D U+0DC0 U+0DDA",58
"හැං","U+0DC4 U+0DD0 U+0D82",58
"ධං","U+0DB0 U+0D82",58
"ඵු","U+0DB5 U+0DD4",58
"න්පු","U+0DB1 U+0DCA U+0DB4 U+0DD4",58
"‍පෙ","U+200D U+0DB4 U+0DD9",58
"ම්බ්ලි","U+0DB8 U+0DCA U+0DB6 U+0DCA U+0DBD U+0DD2",58
"ල්බෙ","U+0DBD U+0DCA U+0DB6 U+0DD9",58
"එ්","U+0D91 U+0DCA",58
"බ්ගැ","U+0DB6 U+0DCA U+0D9C U+0DD0",58
"න්පා","U+0DB1 U+0DCA U+0DB4 U+0DCF",58
"ට්ලෙ","U+0DA7 U+0DCA U+0DBD U+0DD9",58
"න්වො","U+0DB1 U+0DCA U+0DC0 U+0DDC",58
"ර්ලෙ","U+0DBB U+0DCA U+0DBD U+0DD9",58
"ල්දේ","U+0DBD U+0DCA U+0DAF U+0DDA",57
"න්ඩ්ට්","U+0DB1 U+0DCA U+0DA9 U+0DCA U+0DA7 U+0DCA",57
"ම්ස්චි","U+0DB8 U+0DCA U+0DC3 U+0DCA U+0DA0 U+0DD2",57
"ෂ්නි","U+0DC2 U+0DCA U+0DB1 U+0DD2",57
"ව්ලෝ","U+0DC0 U+0DCA U+0DBD U+0DDD",57
"ම්යොං","U+0DB8 U+0DCA U+0DBA U+0DDC U+0D82",57
"ේ","U+0DDA",56
"ථෝ","U+0DAE U+0DDD",56
"ස්ස්‍රා","U+0DC3 U+0DCA U+0DC3 U+0DCA U+200D U+0DBB U+0DCF",56
"හෞ","U+0DC4 U+0DDE",56
"ර්ඩ්ගේ","U+0DBB U+0DCA U+0DA9 U+0DCA U+0D9C U+0DDA",56
"ට්කො","U+0DA7 U+0DCA U+0D9A U+0DDC",56
"ව්‍යාං","U+0DC0 U+0DCA U+200D U+0DBA U+0DCF U+0D82",56
"ප්රී","U+0DB4 U+0DCA U+0DBB U+0DD3",56
"ඩ්න","U+0DA9 U+0DCA U+0DB1",56
"ල්ෆේ","U+0DBD U+0DCA U+0DC6 U+0DDA",56
"ර්ලිං","U+0DBB U+0DCA U+0DBD U+0DD2 U+0D82",56
"න්ග්ෆෙ","U+0DB1 U+0DCA U+0D9C U+0DCA U+0DC6 U+0DD9",56
"ල්දු","U+0DBD U+0DCA U+0DAF U+0DD4",55
"න්ෂු","U+0DB1 U+0DCA U+0DC2 U+0DD4",55
"ඞා","U+0D9E U+0DCF",55
"ස්ක්‍රී","U+0DC3 U+0DCA U+0D9A U+0DCA U+200D U+0DBB U+0DD3",55
"‍ඉ","U+200D U+0D89",55
"ෂ්ක්‍රී","U+0DC2 U+0DCA U+0D9A U+0DCA U+200D U+0DBB U+0DD3",55
"ම්භි","U+0DB8 U+0DCA U+0DB7 U+0DD2",55
"වි‍ශේ","U+0DC0 U+0DD2 U+200D U+0DC1 U+0DDA",55
"ක‍ෂා","U+0D9A U+200D U+0DC2 U+0DCF",55
"ව්පා","U+0DC0 U+0DCA U+0DB4 U+0DCF",55
"ස්ජි","U+0DC3 U+0DCA U+0DA2 U+0DD2",55
"ත්‍ර‍","U+0DAD U+0DCA U+200D U+0DBB U+200D",55
"න්පී","U+0DB1 U+0DCA U+0DB4 U+0DD3",55
"ෆ්ලේ","U+0DC6 U+0DCA U+0DBD U+0DDA",55
"බ්දෙ","U+0DB6 U+0DCA U+0DAF U+0DD9",55
"ශ්ටි","U+0DC1 U+0DCA U+0DA7 U+0DD2",55
"ව්කො","U+0DC0 U+0DCA U+0D9A U+0DDC",55
"ට්ස්ක්","U+0DA7 U+0DCA U+0DC3 U+0DCA U+0D9A U+0DCA",55
"න්චේ","U+0DB1 U+0DCA U+0DA0 U+0DDA",55
"ර්ෂ්","U+0DBB U+0DCA U+0DC2 U+0DCA",55
"ව්රි","U+0DC0 U+0DCA U+0DBB U+0DD2",55
"‍ඓ","U+200D U+0D93",54
"ත්දු","U+0DAD U+0DCA U+0DAF U+0DD4",54
"ප්ටො","U+0DB4 U+0DCA U+0DA7 U+0DDC",54
"ජ්ට","U+0DA2 U+0DCA U+0DA7",54
"ර්‍ධ","U+0DBB U+0DCA U+200D U+0DB0",54
"ල්මැ","U+0DBD U+0DCA U+0DB8 U+0DD0",54
"ත‍","U+0DAD U+200D",54
"ර්සො","U+0DBB U+0DCA U+0DC3 U+0DDC",54
"ර්ශු","U+0DBB U+0DCA U+0DC1 U+0DD4",54
"ල්ප්","U+0DBD U+0DCA U+0DB4 U+0DCA",54
"ත්‍යු","U+0DAD U+0DCA U+200D U+0DBA U+0DD4",53
"‍ක්ෂේ","U+200D U+0D9A U+0DCA U+0DC2 U+0DDA",53
"ල්පෙ","U+0DBD U+0DCA U+0DB4 U+0DD9",53
"කි‍","U+0D9A U+0DD2 U+200D",53
"ස්‍රැ","U+0DC3 U+0DCA U+200D U+0DBB U+0DD0",53
"න්හෙ","U+0DB1 U+0DCA U+0DC4 U+0DD9",53
"ව්තු","U+0DC0 U+0DCA U+0DAD U+0DD4",53
"ස්මෘ","U+0DC3 U+0DCA U+0DB8 U+0DD8",53
"ර්ක්ගේ","U+0DBB U+0DCA U+0D9A U+0DCA U+0D9C U+0DDA",53
"ස්නු","U+0DC3 U+0DCA U+0DB1 U+0DD4",53
"ව්න","U+0DC0 U+0DCA U+0DB1",53
"න්ෂා","U+0DB1 U+0DCA U+0DC2 U+0DCF",53
"ල්රු","U+0DBD U+0DCA U+0DBB U+0DD4",53
"න්මැ","U+0DB1 U+0DCA U+0DB8 U+0DD0",53
"ග්ඩෑ","U+0D9C U+0DCA U+0DA9 U+0DD1",53
"ග්ට","U+0D9C U+0DCA U+0DA7",53
"ක්ට්රො","U+0D9A U+0DCA U+0DA7 U+0DCA U+0DBB U+0DDC",53
"ප්ටෝ","U+0DB4 U+0DCA U+0DA7 U+0DDD",53
"න්ත‍්‍රී","U+0DB1 U+0DCA U+0DAD U+200D U+0DCA U+200D U+0DBB U+0DD3",53
"භ්","U+0DB7 U+0DCA",53
"ස්බේ","U+0DC3 U+0DCA U+0DB6 U+0DDA",53
"ප්ෂ","U+0DB4 U+0DCA U+0DC2",53
"චෑං","U+0DA0 U+0DD1 U+0D82",53
"ස්වෝ","U+0DC3 U+0DCA U+0DC0 U+0DDD",52
"ම්ත","U+0DB8 U+0DCA U+0DAD",52
"ත්මෙ","U+0DAD U+0DCA U+0DB8 U+0DD9",52
"න‍යේ","U+0DB1 U+200D U+0DBA U+0DDA",52
"හු‍ගේ","U+0DC4 U+0DD4 U+200D U+0D9C U+0DDA",52
"ස්හ","U+0DC3 U+0DCA U+0DC4",52
"න්‍යෙ","U+0DB1 U+0DCA U+200D U+0DBA U+0DD9",52
"ර්වෙ","U+0DBB U+0DCA U+0DC0 U+0DD9",52
"ර්ටො","U+0DBB U+0DCA U+0DA7 U+0DDC",52
"ර්ක්මෙ","U+0DBB U+0DCA U+0D9A U+0DCA U+0DB8 U+0DD9",52
"ක්චි","U+0D9A U+0DCA U+0DA0 U+0DD2",52
"ට්සෙ","U+0DA7 U+0DCA U+0DC3 U+0DD9",52
"ස්පෘ","U+0DC3 U+0DCA U+0DB4 U+0DD8",52
"ල්කේ","U+0DBD U+0DCA U+0D9A U+0DDA",52
"භ්‍රෑ","U+0DB7 U+0DCA U+200D U+0DBB U+0DD1",52
"ස්බී","U+0DC3 U+0DCA U+0DB6 U+0DD3",52
"න්ඩ්ව","U+0DB1 U+0DCA U+0DA9 U+0DCA U+0DC0",52
"චැං","U+0DA0 U+0DD0 U+0D82",52
"ග්ලේ","U+0D9C U+0DCA U+0DBD U+0DDA",51
"ස්මී","U+0DC3 U+0DCA U+0DB8 U+0DD3",51
"ග්ය","U+0D9C U+0DCA U+0DBA",51
"ණ‍ය","U+0DAB U+200D U+0DBA",51
"හ්‍ය","U+0DC4 U+0DCA U+200D U+0DBA",51
"ස්ඩ්","U+0DC3 U+0DCA U+0DA9 U+0DCA",51
"ණ්ණං","U+0DAB U+0DCA U+0DAB U+0D82",51
"ම්ගු","U+0DB8 U+0DCA U+0D9C U+0DD4",51
"ල්දූ","U+0DBD U+0DCA U+0DAF U+0DD6",51
"ර්පො","U+0DBB U+0DCA U+0DB4 U+0DDC",51
"ල්ෆො","U+0DBD U+0DCA U+0DC6 U+0DDC",51
"ස්ටිං","U+0DC3 U+0DCA U+0DA7 U+0DD2 U+0D82",51
"ඟූ","U+0D9F U+0DD6",51
"ච්ට්","U+0DA0 U+0DCA U+0DA7 U+0DCA",51
"ෂ්කෝ","U+0DC2 U+0DCA U+0D9A U+0DDD",51
"ර්සී","U+0DBB U+0DCA U+0DC3 U+0DD3",51
"ර්ව්","U+0DBB U+0DCA U+0DC0 U+0DCA",51
"ර්ගො","U+0DBB U+0DCA U+0D9C U+0DDC",51
"න්රේ","U+0DB1 U+0DCA U+0DBB U+0DDA",51
"න්ග්වා","U+0DB1 U+0DCA U+0D9C U+0DCA U+0DC0 U+0DCF",51
"ග්ජ","U+0D9C U+0DCA U+0DA2",50
"ක්ට්රෝ","U+0D9A U+0DCA U+0DA7 U+0DCA U+0DBB U+0DDD",50
"ත්රී","U+0DAD U+0DCA U+0DBB U+0DD3",50
"‍දෙ","U+200D U+0DAF U+0DD9",50
"ම්දු","U+0DB8 U+0DCA U+0DAF U+0DD4",50
"ප්තී","U+0DB4 U+0DCA U+0DAD U+0DD3",50
"ර්‍ෂ","U+0DBB U+0DCA U+200D U+0DC2",50
"ක්හා","U+0D9A U+0DCA U+0DC4 U+0DCF",50
"ෆ්එ","U+0DC6 U+0DCA U+0D91",50
"ග්මි","U+0D9C U+0DCA U+0DB8 U+0DD2",50
"න්ෆ්ලු","U+0DB1 U+0DCA U+0DC6 U+0DCA U+0DBD U+0DD4",50
"ප්ටෙ","U+0DB4 U+0DCA U+0DA7 U+0DD9",50
"ට්ප","U+0DA7 U+0DCA U+0DB4",50
"ප්රෝ","U+0DB4 U+0DCA U+0DBB U+0DDD",50
"ච්ඡී","U+0DA0 U+0DCA U+0DA1 U+0DD3",50
"බො‍හෝ","U+0DB6 U+0DDC U+200D U+0DC4 U+0DDD",49
"ඝි","U+0D9D U+0DD2",49
"ජ්ඣා","U+0DA2 U+0DCA U+0DA3 U+0DCF",49
"ද්‍ධ","U+0DAF U+0DCA U+200D U+0DB0",49
"හ්තා","U+0DC4 U+0DCA U+0DAD U+0DCF",49
"බ්ධ","U+0DB6 U+0DCA U+0DB0",49
"ත්‍රෛ","U+0DAD U+0DCA U+200D U+0DBB U+0DDB",49
"‍ප්‍ර","U+200D U+0DB4 U+0DCA U+200D U+0DBB",49
"කි්‍ර","U+0D9A U+0DD2 U+0DCA U+200D U+0DBB",49
"ප්සී","U+0DB4 U+0DCA U+0DC3 U+0DD3",49
"න්ගූ","U+0DB1 U+0DCA U+0D9C U+0DD6",49
"ර්ත්‍ය","U+0DBB U+0DCA U+0DAD U+0DCA U+200D U+0DBA",49
"ර්ට්ගේ","U+0DBB U+0DCA U+0DA7 U+0DCA U+0D9C U+0DDA",49
"ට්කා","U+0DA7 U+0DCA U+0D9A U+0DCF",49
"ස්නො","U+0DC3 U+0DCA U+0DB1 U+0DDC",49
"බ්ස්ට","U+0DB6 U+0DCA U+0DC3 U+0DCA U+0DA7",49
"ක්පි","U+0D9A U+0DCA U+0DB4 U+0DD2",49
"එෙ","U+0D91 U+0DD9",48
"ජ්‍රා","U+0DA2 U+0DCA U+200D U+0DBB U+0DCF",48
"ස්ක්ටො","U+0DC3 U+0DCA U+0D9A U+0DCA U+0DA7 U+0DDC",48
"ශ්ශා","U+0DC1 U+0DCA U+0DC1 U+0DCF",48
"ර්ශා","U+0DBB U+0DCA U+0DC1 U+0DCF",48
"ර්ඩො","U+0DBB U+0DCA U+0DA9 U+0DDC",48
"ෆ්ලු","U+0DC6 U+0DCA U+0DBD U+0DD4",48
"ළ්","U+0DC5 U+0DCA",48
"ව‍ට","U+0DC0 U+200D U+0DA7",48
"ර්ය්‍ය","U+0DBB U+0DCA U+0DBA U+0DCA U+200D U+0DBA",48
"ට්රේ","U+0DA7 U+0DCA U+0DBB U+0DDA",48
"ල්කෙ","U+0DBD U+0DCA U+0D9A U+0DD9",48
"ව්ලා","U+0DC0 U+0DCA U+0DBD U+0DCF",48
"ල්බො","U+0DBD U+0DCA U+0DB6 U+0DDC",48
"ල්ක්ස්","U+0DBD U+0DCA U+0D9A U+0DCA U+0DC3 U+0DCA",48
"ග්වෙ","U+0D9C U+0DCA U+0DC0 U+0DD9",48
"ට්ලු","U+0DA7 U+0DCA U+0DBD U+0DD4",48
"චුං","U+0DA0 U+0DD4 U+0D82",48
"ෂෑං","U+0DC2 U+0DD1 U+0D82",48
"ෂෞ","U+0DC2 U+0DDE",48
"ක්‍ව","U+0D9A U+0DCA U+200D U+0DC0",47
"ල්සිං","U+0DBD U+0DCA U+0DC3 U+0DD2 U+0D82",47
"ක්‍රෑ","U+0D9A U+0DCA U+200D U+0DBB U+0DD1",47
"න්යි","U+0DB1 U+0DCA U+0DBA U+0DD2",47
"ස්දු","U+0DC3 U+0DCA U+0DAF U+0DD4",47
"ප්‍ර‍දේ","U+0DB4 U+0DCA U+200D U+0DBB U+200D U+0DAF U+0DDA",47
"ක්අ","U+0D9A U+0DCA U+0D85",47
"ඣා","U+0DA3 U+0DCF",47
"ක්ශී","U+0D9A U+0DCA U+0DC1 U+0DD3",47
"ස්ගො","U+0DC3 U+0DCA U+0D9C U+0DDC",47
"ල්ට්‍රා","U+0DBD U+0DCA U+0DA7 U+0DCA U+200D U+0DBB U+0DCF",47
"ර්දෝ","U+0DBB U+0DCA U+0DAF U+0DDD",47
"ච්එ","U+0DA0 U+0DCA U+0D91",47
"ස්හා","U+0DC3 U+0DCA U+0DC4 U+0DCF",47
"ල්බු","U+0DBD U+0DCA U+0DB6 U+0DD4",47
"බ්බං","U+0DB6 U+0DCA U+0DB6 U+0D82",47
"ස්ම්","U+0DC3 U+0DCA U+0DB8 U+0DCA",47
"ෆ්ම","U+0DC6 U+0DCA U+0DB8",47
"ප්රෙ","U+0DB4 U+0DCA U+0DBB U+0DD9",47
"ව්වො","U+0DC0 U+0DCA U+0DC0 U+0DDC",47
"ර්ස්ගේ","U+0DBB U+0DCA U+0DC3 U+0DCA U+0D9C U+0DDA",47
"ර්ටී","U+0DBB U+0DCA U+0DA7 U+0DD3",47
"ර්ප්ස්කා","U+0DBB U+0DCA U+0DB4 U+0DCA U+0DC3 U+0DCA U+0D9A U+0DCF",47
"ී","U+0DD3",46
"ක්තැ","U+0D9A U+0DCA U+0DAD U+0DD0",46
"ල‍ට","U+0DBD U+200D U+0DA7",46
"න්යෙ","U+0DB1 U+0DCA U+0DBA U+0DD9",46
"ක්ගැ","U+0D9A U+0DCA U+0D9C U+0DD0",46
"ල්නි","U+0DBD U+0DCA U+0DB1 U+0DD2",46
"ර්ෆූ","U+0DBB U+0DCA U+0DC6 U+0DD6",46
"ස්ල්","U+0DC3 U+0DCA U+0DBD U+0DCA",46
"න්කැ","U+0DB1 U+0DCA U+0D9A U+0DD0",46
"ර්වු","U+0DBB U+0DCA U+0DC0 U+0DD4",46
"ව්කි","U+0DC0 U+0DCA U+0D9A U+0DD2",46
"ත්නු","U+0DAD U+0DCA U+0DB1 U+0DD4",46
"නෘ","U+0DB1 U+0DD8",46
"ක්ස්වෙ","U+0D9A U+0DCA U+0DC3 U+0DCA U+0DC0 U+0DD9",46
"න්ට්‍රා","U+0DB1 U+0DCA U+0DA7 U+0DCA U+200D U+0DBB U+0DCF",46
"ෂ්ලි","U+0DC2 U+0DCA U+0DBD U+0DD2",46
"ර්හැ","U+0DBB U+0DCA U+0DC4 U+0DD0",46
"ට්‍රෑ","U+0DA7 U+0DCA U+200D U+0DBB U+0DD1",46
"ස්ෆෙ","U+0DC3 U+0DCA U+0DC6 U+0DD9",46
"ලැ‍බේ","U+0DBD U+0DD0 U+200D U+0DB6 U+0DDA",45
"ත්භූ","U+0DAD U+0DCA U+0DB7 U+0DD6",45
"ස්ත්රි","U+0DC3 U+0DCA U+0DAD U+0DCA U+0DBB U+0DD2",45
"ට්රෝ","U+0DA7 U+0DCA U+0DBB U+0DDD",45
"ක්‍ර‍ම","U+0D9A U+0DCA U+200D U+0DBB U+200D U+0DB8",45
"ද්හි","U+0DAF U+0DCA U+0DC4 U+0DD2",45
"ම්ප්ලී","U+0DB8 U+0DCA U+0DB4 U+0DCA U+0DBD U+0DD3",45
"ෂ්කි","U+0DC2 U+0DCA U+0D9A U+0DD2",45
"ග්නෝ","U+0D9C U+0DCA U+0DB1 U+0DDD",45
"න්ක්වා","U+0DB1 U+0DCA U+0D9A U+0DCA U+0DC0 U+0DCF",45
"න්සිං","U+0DB1 U+0DCA U+0DC3 U+0DD2 U+0D82",45
"වැං","U+0DC0 U+0DD0 U+0D82",45
"ස්ඒ","U+0DC3 U+0DCA U+0D92",45
"ල්හු","U+0DBD U+0DCA U+0DC4 U+0DD4",45
"ම්සෝ","U+0DB8 U+0DCA U+0DC3 U+0DDD",45
"න්ඩ්‍ර","U+0DB1 U+0DCA U+0DA9 U+0DCA U+200D U+0DBB",45
"ම්ට්","U+0DB8 U+0DCA U+0DA7 U+0DCA",45
"ෂ්නෙ","U+0DC2 U+0DCA U+0DB1 U+0DD9",45
"ජ්ක්","U+0DA2 U+0DCA U+0D9A U+0DCA",45
"ැ","U+0DD0",44
"ච්චී","U+0DA0 U+0DCA U+0DA0 U+0DD3",44
"ව්රු","U+0DC0 U+0DCA U+0DBB U+0DD4",44
"ක්නේ","U+0D9A U+0DCA U+0DB1 U+0DDA",44
"ඩ්ජා","U+0DA9 U+0DCA U+0DA2 U+0DCF",44
"ම්ජී","U+0DB8 U+0DCA U+0DA2 U+0DD3",44
"න්චෝ","U+0DB1 U+0DCA U+0DA0 U+0DDD",44
"ම්ගො","U+0DB8 U+0DCA U+0D9C U+0DDC",44
"බ්හි","U+0DB6 U+0DCA U+0DC4 U+0DD2",44
"ෆ්සී","U+0DC6 U+0DCA U+0DC3 U+0DD3",44
"ෂ්ට්","U+0DC2 U+0DCA U+0DA7 U+0DCA",44
"ම්ෆෝ","U+0DB8 U+0DCA U+0DC6 U+0DDD",44
"ස්ට්හි","U+0DC3 U+0DCA U+0DA7 U+0DCA U+0DC4 U+0DD2",44
"ම්ටී","U+0DB8 U+0DCA U+0DA7 U+0DD3",44
"හ්‍රී","U+0DC4 U+0DCA U+200D U+0DBB U+0DD3",44
"ර්ස්කි","U+0DBB U+0DCA U+0DC3 U+0DCA U+0D9A U+0DD2",44
"ස්බා","U+0DC3 U+0DCA U+0DB6 U+0DCF",44
"න්ඛ්ඛෙ","U+0DB1 U+0DCA U+0D9B U+0DCA U+0D9B U+0DD9",44
"ර්ධ්ව","U+0DBB U+0DCA U+0DB0 U+0DCA U+0DC0",44
"ස්සූ","U+0DC3 U+0DCA U+0DC3 U+0DD6",43
"න්බැ","U+0DB1 U+0DCA U+0DB6 U+0DD0",43
"ව‍ා","U+0DC0 U+200D U+0DCF",43
"ග්නූ","U+0D9C U+0DCA U+0DB1 U+0DD6",43
"ට්ක","U+0DA7 U+0DCA U+0D9A",43
"ල්ගෝ","U+0DBD U+0DCA U+0D9C U+0DDD",43
"ප්රො","U+0DB4 U+0DCA U+0DBB U+0DDC",43
"න්සැ","U+0DB1 U+0DCA U+0DC3 U+0DD0",43
"ඪි","U+0DAA U+0DD2",43
"ප්ලු","U+0DB4 U+0DCA U+0DBD U+0DD4",43
"න්මේ","U+0DB1 U+0DCA U+0DB8 U+0DDA",43
"ටෲ","U+0DA7 U+0DF2",43
"ඩ්ඩා","U+0DA9 U+0DCA U+0DA9 U+0DCF",43
"ශැ","U+0DC1 U+0DD0",43
"ල්ස්හි","U+0DBD U+0DCA U+0DC3 U+0DCA U+0DC4 U+0DD2",43
"න්ජී","U+0DB1 U+0DCA U+0DA2 U+0DD3",43
"බ්ස්ගේ","U+0DB6 U+0DCA U+0DC3 U+0DCA U+0D9C U+0DDA",43
"ම්බ්‍රෝ","U+0DB8 U+0DCA U+0DB6 U+0DCA U+200D U+0DBB U+0DDD",43
"ස්ත්‍ර‍","U+0DC3 U+0DCA U+0DAD U+0DCA U+200D U+0DBB U+200D",43
"ඬී","U+0DAC U+0DD3",42
"ක්‍ෂෙ","U+0D9A U+0DCA U+200D U+0DC2 U+0DD9",42
"ඔං","U+0D94 U+0D82",42
"‍ග","U+200D U+0D9C",42
"ස්හී","U+0DC3 U+0DCA U+0DC4 U+0DD3",42
"ඩ්ඩු","U+0DA9 U+0DCA U+0DA9 U+0DD4",42
"ශ‍්‍රා","U+0DC1 U+200D U+0DCA U+200D U+0DBB U+0DCF",42
"ස්ගෝ","U+0DC3 U+0DCA U+0D9C U+0DDD",42
"ඩ්ගා","U+0DA9 U+0DCA U+0D9C U+0DCF",42
"ද්ධං","U+0DAF U+0DCA U+0DB0 U+0D82",42
"‍යො","U+200D U+0DBA U+0DDC",42
"න්ක්‍රි","U+0DB1 U+0DCA U+0D9A U+0DCA U+200D U+0DBB U+0DD2",42
