akshara,codepoints,freq
"හෙ","U+0DC4 U+0DD9",30734
"ලෝ","U+0DBD U+0DDD",30717
"ජි","U+0DA2 U+0DD2",29668
"ක්‍ර","U+0D9A U+0DCA U+200D U+0DBB",28050
"ලං","U+0DBD U+0D82",27723
"රේ","U+0DBB U+0DDA",27464
"න්ට","U+0DB1 U+0DCA U+0DA7",27442
"ධ්‍ය","U+0DB0 U+0DCA U+200D U+0DBA",27252
"ලී","U+0DBD U+0DD3",27198
"ගො","U+0D9C U+0DDC",26741
"රෙ","U+0DBB U+0DD9",26672
"ර්ග","U+0DBB U+0DCA U+0D9C",26568
"ඩු","U+0DA9 U+0DD4",26460
"ඳු","U+0DB3 U+0DD4",26423
"ලු","U+0DBD U+0DD4",26363
"මූ","U+0DB8 U+0DD6",26342
"ත්ම","U+0DAD U+0DCA U+0DB8",26186
"රූ","U+0DBB U+0DD6",26178
"ලේ","U+0DBD U+0DDA",25833
"තැ","U+0DAD U+0DD0",25754
"හො","U+0DC4 U+0DDC",25502
"ඕ","U+0D95",25114
"බෙ","U+0DB6 U+0DD9",24969
"රැ","U+0DBB U+0DD0",24826
"ගී","U+0D9C U+0DD3",24324
"සෙ","U+0DC3 U+0DD9",23252
"ට්","U+0DA7 U+0DCA",22992
"ර්මා","U+0DBB U+0DCA U+0DB8 U+0DCF",22980
"චා","U+0DA0 U+0DCF",22933
"ශ්‍රී","U+0DC1 U+0DCA U+200D U+0DBB U+0DD3",22543
"ල්ල","U+0DBD U+0DCA U+0DBD",22524
"හේ","U+0DC4 U+0DDA",22078
"ජී","U+0DA2 U+0DD3",22050
"ළේ","U+0DC5 U+0DDA",21855
"න්‍ය","U+0DB1 U+0DCA U+200D U+0DBA",21633
"තේ","U+0DAD U+0DDA",21603
"බේ","U+0DB6 U+0DDA",21451
"කී","U+0D9A U+0DD3",21436
"ශි","U+0DC1 U+0DD2",21347
"න්ධ","U+0DB1 U+0DCA U+0DB0",21162
"න්ම","U+0DB1 U+0DCA U+0DB8",20926
"ජ්‍ය","U+0DA2 U+0DCA U+200D U+0DBA",20470
"ත්‍ය","U+0DAD U+0DCA U+200D U+0DBA",20070
"නේ","U+0DB1 U+0DDA",19981
"සො","U+0DC3 U+0DDC",19933
"ඳි","U+0DB3 U+0DD2",19766
"න්නා","U+0DB1 U+0DCA U+0DB1 U+0DCF",19637
"ශේ","U+0DC1 U+0DDA",19598
"න්ව","U+0DB1 U+0DCA U+0DC0",19472
"ක්වා","U+0D9A U+0DCA U+0DC0 U+0DCF",19341
"ත්ත","U+0DAD U+0DCA U+0DAD",19175
"ටා","U+0DA7 U+0DCF",18858
